longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006
138.9480012,37.8613968,4691,4A402,街区多角点節点,206644.991,39419.153,0.763,38.28, 
138.9496584,37.8614979,4692,4A401,街区多角点節点,206656.929,39564.917,0.89,38.281, 
138.9282219,37.8618101,4693,4A400,街区多角点節点,206682.704,37678.575,10.885,38.259, 
138.9552066,37.8612872,4694,4A399,街区多角点節点,206635.908,40053.213,2.704,38.289, 
138.9326541,37.8616843,4695,4A398,街区多角点節点,206670.535,38068.623,19.831,38.264, 
138.9279341,37.8617924,4696,4A397,街区多角点節点,206680.613,37653.264,10.163,38.259, 
138.9354385,37.8617372,4697,4A396,街区多角点節点,206677.547,38313.598,26.828,38.267, 
138.9311617,37.8618292,4698,4A395,街区多角点節点,206686.014,37937.232,1.953,38.262, 
138.953077,37.8620438,4699,4A394,街区多角点節点,206718.967,39865.422,3.238,38.284, 
138.9369156,37.8620799,4700,4A393,街区多角点節点,206716.189,38443.386,30.535,38.267, 
138.9260639,37.8622426,4701,4A392,街区多角点節点,206729.837,37488.479,7.776,38.256, 
138.9346247,37.8623105,4702,4A391,街区多角点節点,206740.833,38241.7,28.978,38.264, 
138.957531,37.8623912,4703,4A390,街区多角点節点,206759.42,40257.137,3.068,38.289, 
138.942681,37.8625834,4704,4A389,街区多角点節点,206774.454,38950.408,9.349,38.271, 
138.9252511,37.86268,4705,4A388,街区多角点節点,206778.043,37416.732,8.767,38.254, 
138.932236,37.8533312,4706,4A483,街区多角点節点,205743.303,38036.124,2.912,38.288, 
138.9334058,37.8533967,4707,4A482,街区多角点節点,205751.055,38139.039,2.316,38.289, 
138.9153306,37.8533331,4708,4A481,街区多角点節点,205736.76,36548.476,26.722,38.273, 
138.9172384,37.8535805,4709,4A480,街区多角点節点,205764.975,36716.23,24.04,38.274, 
138.9411957,37.8536134,4710,4A479,街区多角点節点,205778.31,38824.425,3.88,38.296, 
138.9159658,37.8536157,4711,4A478,街区多角点節点,205768.381,36604.221,26.669,38.273, 
138.9404956,37.8535869,4712,4A477,街区多角点節点,205775.084,38762.837,3.792,38.296, 
138.9329428,37.8537568,4713,4A476,街区多角点節点,205790.838,38098.107,2.614,38.288, 
138.9223055,37.8537958,4714,4A475,街区多角点節点,205790.877,37162.024,5.093,38.277, 
138.933764,37.853787,4715,4A474,街区多角点節点,205794.528,38170.357,2.127,38.288, 
138.9182536,37.8540135,4716,4A473,街区多角点節点,205813.42,36805.354,29.09,38.274, 
138.9150952,37.853948,4717,4A472,街区多角点節点,205804.928,36527.451,31.388,38.271, 
