longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006
139.1141218,37.9032971,5367,30A29,街区多角点,211378.447,54005.448,-0.112,38.562, 
139.1161594,37.9049076,5368,30A28,街区多角点,211558.361,54183.444,-0.376,38.564, 
139.1083816,37.902451,5369,30A27,街区多角点,211281.232,53501.26,0.735,38.543, 
139.1098099,37.9033071,5370,30A26,街区多角点,211377.069,53626.249,0.561,38.546, 
139.1113451,37.90403,5371,30A25,街区多角点,211458.183,53760.723,0.695,38.549, 
139.1126753,37.9048808,5372,30A24,街区多角点,211553.379,53877.083,0.692,38.551, 
139.1163745,37.907011,5373,30A23,街区多角点,211791.944,54200.825,0.517,38.558, 
139.1178848,37.9077803,5374,30A22,街区多角点,211878.208,54333.063,0.533,38.561, 
139.1193051,37.9086408,5375,30A21,街区多角点,211974.53,54457.32,0.367,38.563, 
139.1207113,37.9094944,5376,30A20,街区多角点,212070.092,54580.347,0.505,38.566, 
139.1221362,37.9103488,5377,30A19,街区多角点,212165.755,54705.004,0.472,38.568, 
139.1236446,37.9114652,5378,30A18,街区多角点,212290.542,54836.811,0.27,38.57, 
139.1074443,37.9034819,5379,30A17,街区多角点,211395.113,53418.085,1.566,38.537, 
139.1142856,37.9071989,5380,30A16,街区多角点,211811.586,54016.99,2.114,38.55, 
139.1100775,37.9066356,5381,30A15,街区多角点,211746.631,53647.363,1.357,38.536, 
139.1118638,37.9075256,5382,30A14,街区多角点,211846.448,53803.793,1.242,38.54, 
139.1131803,37.9082744,5383,30A13,街区多角点,211930.305,53919.018,1.206,38.542, 
139.1152446,37.9092918,5384,30A12,街区多角点,212044.413,54099.791,1.048,38.546, 
139.1188304,37.9114018,5385,30A11,街区多角点,212280.685,54413.546,0.955,38.552, 
139.1206036,37.9126123,5386,30A10,街区多角点,212416.063,54568.573,1.543,38.555,撤去及び亡失
139.1213047,37.9129384,5387,30A09,街区多角点,212452.676,54629.976,3.659,38.556, 
139.1049345,37.9067066,5388,30A07,街区多角点,211751.575,53195.053,0.568,38.517, 
139.1068621,37.9073806,5389,30A06,街区多角点,211827.475,53364.075,0.59,38.522, 
139.1091151,37.9080299,5390,30A05,街区多角点,211900.83,53561.728,0.511,38.528, 
139.1108197,37.908596,5391,30A04,街区多角点,211964.633,53711.206,0.571,38.532, 
139.1134775,37.9105855,5392,30A03,街区多角点,212186.975,53943.469,0.781,38.536, 
139.1156062,37.9113808,5393,30A02,街区多角点,212276.475,54130.056,1.071,38.541, 
139.1109013,37.9265466,5964,10D49,街区多角点,213956.947,53705.327,0.223,38.479, 
139.1126134,37.9260903,5965,10D48,街区多角点,213907.285,53856.175,0.713,38.486, 
139.123806,37.9231746,5966,10D47,街区多角点,213590.204,54842.315,0.792,38.534, 
139.1062018,37.9290091,5967,10D46,街区多角点,214227.549,53290.401,-0.611,38.456, 
139.1116163,37.9281858,5968,10D45,街区多角点,214139.289,53766.989,0.148,38.477, 
139.1132879,37.9276169,5969,10D44,街区多角点,214077.1,53914.357,0.703,38.484, 
139.1197766,37.9264253,5970,10D43,街区多角点,213948.628,54485.668,0.572,38.511, 
139.0967101,37.9346685,5975,10D38,街区多角点,214850.275,52451.97,-0.022,38.409, 
139.1045311,37.9332345,5976,10D37,街区多角点,214695.549,53140.495,-0.002,38.438, 
139.1135894,37.93503,5977,10D36,街区多角点,214900.027,53935.449,-0.064,38.465, 
139.11744,37.9338174,5978,10D35,街区多角点,214767.685,54274.811,0.399,38.482, 
139.1192439,37.9337621,5979,10D34,街区多角点,214762.594,54433.422,0.469,38.488, 
139.1235804,37.9340754,5980,10D33,街区多角点,214799.9,54814.381,0.732,38.502, 
139.1199251,37.9187891,5991,10B64,街区多角点,213101.201,54504.356,-0.144,38.533, 
139.1188386,37.9203292,5992,10B63,街区多角点,213271.5,54407.697,0.137,38.524, 
139.1182105,37.9216095,5993,10B62,街区多角点,213413.222,54351.526,1.131,38.519, 
139.1229096,37.9200727,5994,10B61,街区多角点,213245.415,54765.806,0.212,38.54, 
139.1221942,37.9213151,5995,10B60,街区多角点,213382.88,54701.985,0.533,38.534, 
139.1199687,37.922257,5996,10B59,街区多角点,213486.128,54505.629,1.205,38.523, 
139.1176673,37.923513,5997,10B58,街区多角点,213624.178,54302.378,0.898,38.511, 
139.1178402,37.9247214,5998,10B57,街区多角点,213758.382,54316.685,0.713,38.509, 
139.1176397,37.9257823,5999,10B56,街区多角点,213876.012,54298.271,0.547,38.505, 
139.1209747,37.9281351,6000,10B55,街区多角点,214139.096,54589.725,0.358,38.51, 
139.1193459,37.9285378,6001,10B54,街区多角点,214182.837,54446.243,0.339,38.503, 
139.098575,37.9340597,6027,10B28,街区多角点,214783.754,52616.332,0.005,38.416, 
139.0989645,37.9355679,6028,10B27,街区多角点,214951.368,52649.493,0.024,38.413, 
139.1164144,37.9347453,6042,10A73,街区多角点,214870.068,54183.979,0.278,38.476, 
139.1220922,37.9236576,6059,10A56,街区多角点,213642.809,54691.285,1.357,38.527, 
139.1255944,37.9226593,6060,10A55,街区多角点,213534.075,54999.92,0.833,38.542, 
139.1272039,37.9222106,6061,10A54,街区多角点,213485.226,55141.76,1.142,38.55, 
139.1265718,37.9245543,6062,10A53,街区多角点,213744.963,55084.446,0.59,38.541, 
139.1222181,37.9257309,6063,10A52,街区多角点,213872.98,54700.817,0.714,38.521, 
139.1223257,37.9276052,6064,10A51,街区多角点,214081.072,54708.882,0.645,38.516, 
139.1222365,37.9295823,6065,10A50,街区多角点,214300.452,54699.583,0.698,38.51, 
139.1222814,37.9311246,6066,10A49,街区多角点,214471.649,54702.384,0.274,38.506, 
139.124767,37.9325412,6067,10A48,街区多角点,214630.331,54919.837,0.246,38.511, 
139.1215996,37.9341168,6068,10A47,街区多角点,214803.347,54640.232,2.383,38.495, 
139.1208821,37.9357961,6069,10A46,街区多角点,214989.294,54575.928,0.358,38.488, 
139.1261992,37.9352003,6071,10A44,街区多角点,214926.309,55043.741,0.533,38.509, 
