longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006,SAFIELD007,SAFIELD008,SAFIELD009
139.0059397,37.8466386,731,3065A,街区三角点,205033.122,44526.004,0.77,38.42,0.999924,375047.899,1390021.383, 
139.0131224,37.8472793,732,3064A,街区三角点,205107.686,45157.746,18.27,38.44,0.999925,375050.2057,1390047.2408, 
139.0192978,37.8494219,733,3063A,街区三角点,205348.481,45699.895,2.67,38.45,0.999926,375057.919,1390109.4721, 
139.0115296,37.8518987,734,3062A,街区三角点,205619.595,45014.768,0.13,38.42,0.999925,375106.8356,1390041.507, 
139.0077032,37.8549589,735,3061A,街区三角点,205957.388,44676.187,0.6,38.4,0.999925,375117.8522,1390027.7317, 
139.0177463,37.8551127,736,3060A,街区三角点,205979.307,45559.856,12.93,38.42,0.999926,375118.4058,1390103.8868, 
139.0116892,37.8594143,737,3059A,街区三角点,206453.772,45024.239,0.67,38.4,0.999925,375133.8914,1390042.0815, 
139.0185962,37.8671039,738,3058A,街区三角点,207310.554,45627.25,3.86,38.39,0.999926,375201.5742,1390106.9464, 
139.0081053,37.8674172,739,3057A,街区三角点,207340.241,44704.044,0.56,38.36,0.999925,375202.7018,1390029.1792, 
139.0124895,37.8690789,740,3056A,街区三角点,207526.771,45088.769,17,38.37,0.999925,375208.6839,1390044.9625, 
139.0073846,37.8739973,741,3055A,街区三角点,208070.188,44636.665,0.04,38.34,0.999925,375226.3904,1390026.5847, 
139.024029,37.8765066,742,3054A,街区三角点,208356.776,46099.386,3.17,38.37,0.999926,375235.424,1390126.5045, 
139.0215885,37.8795546,744,3052A,街区三角点,208693.851,45882.807,3.7,38.35,0.999926,375246.3967,1390117.719, 
139.0254846,37.883704,747,3049A,街区三角点,209156.297,46222.941,-0.02,38.35,0.999926,375301.3347,1390131.7448, 
139.0902885,37.8737877,625,A005A,街区三角点,208089.826,51930.263,0.73,38.577,0.999933,375225.6361,1390525.0388,撤去及び亡失
139.0797339,37.8878402,805,3043A,街区三角点,209643.618,50992.036,-0.37,38.49,0.999932,375316.2251,1390447.0424, 
139.0856596,37.888883,806,3042A,街区三角点,209762.596,51512.512,14.81,38.51,0.999933,375319.9788,1390508.3745, 
139.0719288,37.8895005,807,3041A,街区三角点,209823.647,50304.372,14.68,38.46,0.999931,375322.2022,1390418.9437, 
139.0311857,37.8791954,743,3053A,街区三角点,208658.745,46727.274,-0.19,38.38,0.999927,375245.1035,1390152.2687, 
139.0392602,37.8805809,745,3051A,街区三角点,208816.592,47436.684,0.05,38.39,0.999928,375250.0914,1390221.3367,撤去及び亡失
139.073047,37.8813469,746,3050A,街区三角点,208919.31,50408.284,32.38,38.49,0.999931,375252.8487,1390422.9692, 
139.0446531,37.8842492,748,3048A,街区三角点,209226.476,47908.709,-0.03,38.4,0.999928,375303.2975,1390240.7514, 
139.0727156,37.885797,749,3047A,街区三角点,209413.03,50376.1,0.46,38.48,0.999931,375308.8693,1390421.7762, 
139.0671467,37.8861244,750,3046A,街区三角点,209446.379,49886.03,0.44,38.46,0.999931,375310.0481,1390401.728, 
139.0383544,37.886484,751,3045A,街区三角点,209471.285,47353.222,9.02,38.37,0.999928,375311.3426,1390218.0758, 
139.0954273,37.8691714,770,A009A,街区三角点,207580.353,52385.613,0.717,38.613,0.999934,375209.0172,1390543.5383, 
139.1030023,37.8720645,626,A007A,街区三角点,207905.721,53049.992,0.767,38.63,0.999935,375219.4323,1390610.8083, 
139.1121894,37.8733704,627,A006A,街区三角点,208055.927,53857.302,0.709,38.661,0.999936,375224.1338,1390643.882, 
139.1007912,37.877085,628,A004A,街区三角点,208461.666,52851.885,0.662,38.602,0.999934,375237.5062,1390602.8486, 
139.1133971,37.8794264,629,A003A,街区三角点,208728.735,53959.134,0.142,38.642,0.999936,375245.935,1390648.2298, 
139.1076813,37.8815725,630,A002A,街区三角点,208963.637,53454.774,-0.163,38.612,0.999935,375253.6612,1390627.653, 
139.0987818,37.8844504,631,A001A,街区三角点,209277.971,52669.866,-0.613,38.568,0.999934,375304.0214,1390555.6146, 
139.1200721,37.860785,765,A014A,街区三角点,206663.712,54560.06,2.873,38.741,0.999937,375138.8261,1390712.2594, 
139.0971148,37.8627098,766,A013A,街区三角点,206864.164,52538.672,1.613,38.643,0.999934,375145.7553,1390549.6134, 
139.1149111,37.8635088,767,A012A,街区三角点,206963.009,54103.958,2.817,38.709,0.999936,375148.6319,1390653.6802, 
139.1260485,37.864145,768,A011A,街区三角点,207040.134,55083.439,2.724,38.751,0.999937,375150.9223,1390733.775, 
139.1176414,37.8673089,769,A010A,街区三角点,207386.34,54341.393,2.169,38.705,0.999936,375202.312,1390703.5091, 
139.1201781,37.8706741,771,A008A,街区三角点,207761.315,54562.108,2.112,38.702,0.999937,375214.427,1390712.6416, 
139.0129578,37.9118623,809,2035A,街区三角点,212275.297,45103.853,14.87,38.25,0.999925,375442.7044,1390046.6481, 
