longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005
139.1213743,37.7872586,13805,7B014,補助点,198504.245,54728.928,6.641, 
139.1211453,37.7870113,13806,7B013,補助点,198476.661,54708.93,6.216, 
139.1213652,37.7864118,13807,7B012,補助点,198410.259,54728.747,7.067, 
139.1223554,37.786393,13808,7B011,補助点,198408.753,54815.977,7.275, 
139.1298124,37.7920169,15142,7A947,補助点,199037.304,55468.571,10.314, 
139.1348797,37.7931616,15143,7A946,補助点,199167.361,55914.001,18.027, 
139.1365194,37.7924865,15144,7A944,補助点,199093.426,56058.929,22.528, 
139.1074094,37.7969578,15145,7A671,補助点,199572.6,53491.923,4.152, 
139.1087631,37.7977758,15146,7A670,補助点,199664.162,53610.556,4.132, 
139.1181459,37.7964208,13837,7A632,補助点,199519.204,54437.841,5.161, 
139.118376,37.7965678,13838,7A631,補助点,199535.655,54458.004,5.245, 
139.1178409,37.7974367,13839,7A630,補助点,199631.789,54410.242,5.408, 
139.1174872,37.7968841,13840,7A629,補助点,199570.245,54379.496,5.363, 
139.1170739,37.7969957,13841,7A628,補助点,199582.381,54343.016,5.105, 
139.1165544,37.7964806,13842,7A627,補助点,199524.916,54297.647,5.138, 
139.1166566,37.7970115,13843,7A626,補助点,199583.902,54306.258,5.043, 
139.1166053,37.7972235,13844,7A625,補助点,199607.409,54301.584,4.932, 
139.1166851,37.7982604,13845,7A624,補助点,199722.529,54307.859,4.825, 
139.1180379,37.7988001,13846,7A623,補助点,199783.201,54426.599,4.617, 
139.1185428,37.7974832,13847,7A622,補助点,199637.344,54472.021,5.259, 
139.119605,37.7967043,13848,7A620,補助点,199551.529,54566.137,5.215, 
139.1379916,37.7965251,13878,7A909,補助点,199542.527,56185.521,6.495,撤去及び亡失
139.1211228,37.7765886,13879,7A908,補助点,197319.909,54714.637,10.107, 
139.1382515,37.7971168,13880,7A907,補助点,199608.356,56207.965,6.18, 
139.1388217,37.7964271,13881,7A906,補助点,199532.143,56258.7,6.243, 
139.1395079,37.7955338,13882,7A905,補助点,199433.428,56319.811,6.318, 
139.14002,37.7949028,13883,7A904,補助点,199363.699,56365.393,6.387, 
139.140618,37.7951425,13884,7A903,補助点,199390.664,56417.876,6.565, 
139.1404151,37.7953814,13885,7A902,補助点,199417.051,56399.828,5.775, 
139.1401057,37.7957599,13886,7A901,補助点,199458.876,56372.283,5.751, 
139.1395846,37.796394,13887,7A900,補助点,199528.935,56325.912,6.576, 
139.1393713,37.7966514,13888,7A899,補助点,199557.373,56306.93,6.544, 
139.112304,37.7935209,14556,7A723,補助点,199193.98,53925.472,4.743, 
139.1105218,37.7933681,14557,7A722,補助点,199175.998,53768.628,4.724, 
139.1112339,37.7916527,14558,7A721,補助点,198986.029,53832.588,4.596, 
139.1107839,37.791624,14559,7A720,補助点,198982.58,53792.971,4.709, 
139.1092001,37.7913024,14560,7A719,補助点,198945.987,53653.715,4.223, 
139.109002,37.7925272,14561,7A718,補助点,199081.8,53635.387,4.287, 
139.1124485,37.7922795,15202,7A728,補助点,199056.296,53939.102,4.396, 
139.1123851,37.7930199,15203,7A727,補助点,199138.426,53932.985,4.484, 
139.1121417,37.7941791,15204,7A726,補助点,199266.933,53910.704,4.945, 
139.1112395,37.7942019,15205,7A725,補助点,199268.953,53831.238,5.063, 
139.11048,37.7942308,15206,7A724,補助点,199271.717,53764.324,5.057, 
139.1230275,37.7868593,15207,7B010,補助点,198460.892,54874.828,7.548, 
139.1252477,37.7877802,15208,7B008,補助点,198564.407,55069.692,8.346, 
139.124979,37.787758,15209,7B007,補助点,198561.784,55046.041,8.532, 
139.12476,37.7885323,15210,7B006,補助点,198647.596,55026.185,7.898, 
139.1316622,37.7934105,15841,7A934,補助点,199193.074,55630.448,8.99, 
139.1339069,37.7933284,15842,7A932,補助点,199185.307,55828.206,14.801, 
139.1428346,37.7903922,15843,7A930,補助点,198864.8,56616.71,9.957, 
139.1422886,37.7895391,15844,7A929,補助点,198769.789,56569.272,7.411, 
139.1413571,37.7933357,15845,7A928,補助点,199190.582,56484.345,6.862, 
139.1416609,37.7941519,15846,7A926,補助点,199281.355,56510.476,6.494, 
139.1399491,37.7936926,15847,7A925,補助点,199229.349,56360.067,6.523, 
139.1392411,37.7943079,15848,7A924,補助点,199297.206,56297.241,6.593, 
139.1395739,37.7944145,15849,7A923,補助点,199309.236,56326.472,6.46, 
139.1391678,37.7930084,15850,7A922,補助点,199152.941,56291.774,6.688, 
139.1391099,37.7935953,15851,7A921,補助点,199218.044,56286.234,6.744, 
139.1382568,37.7939597,15852,7A919,補助点,199257.973,56210.829,6.611, 
139.1382969,37.7936396,15853,7A918,補助点,199222.463,56214.593,6.644, 
139.137444,37.7935989,15854,7A917,補助点,199217.436,56139.514,7.88, 
139.1359771,37.7950955,15855,7A916,補助点,199382.651,56009.198,7.62, 
139.1353122,37.7939195,15856,7A915,補助点,199251.741,55951.528,6.685, 
139.1376221,37.7950142,15857,7A913,補助点,199374.619,56154.124,6.133, 
139.1423797,37.7957608,15858,7A912,補助点,199460.345,56572.556,6.495, 
139.1403985,37.7972298,15859,7A911,補助点,199622.187,56396.95,6.416, 
139.1105914,37.7969804,15232,7A669,補助点,199576.944,53772.134,4.282, 
139.1047033,37.795795,15233,7A706,補助点,199442.014,53254.446,4.65, 
139.1074991,37.7943811,15234,7A705,補助点,199286.69,53501.684,5.128, 
139.1068997,37.7944617,15235,7A704,補助点,199295.29,53448.837,5.099, 
139.106836,37.7947901,15236,7A703,補助点,199331.709,53442.996,4.5, 
139.1188763,37.7967307,15268,7A619,補助点,199554.022,54501.942,5.414, 
