556971,122548,391225
556972,9933,391226
556973,123201,391227
556974,146253,391228
556975,179829,391229
556976,153973,391230
556977,142603,391231
556978,153808,391232
556979,7740,391233
556980,149344,391234
556981,78334,391235
556982,184091,391236
556983,204123,391237
556984,9559,391238
556985,19414,391239
556986,11283,391240
556987,115097,391241
556988,124050,391242
556989,148720,391243
556990,15751,391244
556991,134060,391245
556992,147210,391246
556993,132767,391247
556994,131753,391248
556995,147571,391249
556996,128813,391250
556997,144170,391251
556998,180162,391252
556999,135250,391253
557000,127858,391254
557001,145984,391255
557002,147834,391256
557003,127603,391257
557004,152018,391258
557005,147139,391259
557006,9392,391260
557007,179953,391261
557008,182209,391262
557009,146084,391263
557010,147148,391264
557011,147823,391265
557012,127647,391266
557013,149019,391267
557014,51053,391268
557015,114887,391269
557016,147688,391270
557017,219114,391271
557018,120762,391272
557019,114936,391273
557020,2684,391274
557021,100706,391275
557022,147897,391276
557023,11587,391277
557024,146327,391278
557025,11535,391279
557026,11654,391280
557027,149406,391281
557028,147294,391282
557029,177430,391283
557030,142303,391284
557031,332,391285
557032,146328,391286
557033,149497,391287
557034,141596,391288
557035,72887,391289
557036,8081,391290
557037,121974,391291
557038,123850,391292
557039,147899,391293
557040,149342,391294
557041,179406,391295
557042,125047,391296
557043,152497,391297
557044,7339,391298
557045,171265,391299
557046,179290,391300
557047,147846,391301
557048,107311,391302
557049,127776,391303
557050,180252,391304
557051,166473,391305
557052,147796,391306
557053,14537,391307
557054,178924,391308
557055,129770,391309
557056,150067,391310
557057,152002,391311
557058,12422,391312
557059,41298,391313
557060,48706,391314
557061,72887,391315
557062,11606,391316
557063,122861,391317
557064,162574,391318
557065,141616,391319
557066,134060,391320
557067,131942,391321
557068,144529,391322
557069,147801,391323
557070,148237,391324
557071,147812,391325
557072,143311,391326
557073,147824,391327
557074,121765,391328
557075,145683,391329
557076,148342,391330
557077,461,391331
557078,144672,391332
557079,8477,391333
557080,125179,391334
557081,177493,391335
557082,143401,391336
557083,146300,391337
557084,157931,391338
557085,122045,391339
557086,147666,391340
557087,147339,391341
557088,181480,391342
557089,146414,391343
557090,94851,391344
557091,332,391345
557092,100163,391346
557093,150882,391347
557094,9569,391348
557095,1988,391349
557096,147892,391350
557097,179295,391351
557098,182152,391352
557099,186442,391353
557100,177709,391354
557101,153757,391355
557102,144007,391356
557103,147221,391357
557104,180228,391358
557105,180101,391359
557106,11593,391360
557107,141390,391361
557108,146313,391362
557109,9358,391363
557110,178248,391364
557111,72270,391365
557112,153680,391366
557113,146614,391367
557114,114870,391368
557115,14555,391369
557116,8455,391370
557117,146287,391371
557118,9854,391372
557119,9407,391373
557120,55246,391374
557121,30729,391375
557122,11654,391376
557123,205563,391377
557124,82501,391378
557125,146515,391379
557126,147877,391380
557127,163023,391381
557128,146319,391382
557129,127972,391383
557130,205581,391384
557131,114658,391385
557132,55572,391386
557133,127293,391387
557134,332,391388
557135,146300,391389
557136,146265,391390
557137,147809,391391
557138,147877,391392
557139,147602,391393
557140,146297,391394
557141,147847,391395
557142,148720,391396
557143,332,391397
557144,10308,391398
557145,122663,391399
557146,11289,391400
557147,9447,391401
557148,19109,391402
557149,14543,391403
557150,145629,391404
557151,146408,391405
557152,147197,391406
557153,147217,391407
557154,146328,391408
557155,147826,391409
557156,9883,391410
557157,148183,391411
557158,11647,391412
557159,147824,391413
557160,179866,391414
557161,177430,391415
557162,9559,391416
557163,7817,391417
557164,207664,391418
557165,332,391419
557166,152225,391420
557167,124180,391421
557168,152018,391422
557169,185968,391423
557170,147894,391424
557171,9153,391425
557172,9559,391426
557173,9345,391427
557174,126839,391428
557175,126944,391429
557176,100824,391430
557177,72944,391431
557178,120569,391432
557179,146179,391433
557180,147813,391434
557181,70672,391435
557182,8711,391436
557183,114869,391437
557184,120762,391438
557185,142919,391439
557186,141236,391440
557187,147894,391441
557188,177434,391442
557189,179956,391443
557190,125302,391444
557191,195889,391445
557192,135600,391446
557193,142914,391447
557194,180336,391448
557195,147801,391449
557196,184095,391450
557197,114887,391451
557198,179881,391452
557199,183537,391453
557200,148070,391454
557201,114646,391455
557202,14544,391456
557203,152409,391457
557204,153263,391458
557205,12411,391459
557206,12813,391460
557207,203186,391461
557208,106695,391462
557209,123989,391463
557210,9933,391464
557211,177709,391465
557212,153263,391466
557213,147900,391467
557214,147803,391468
557215,146329,391469
557216,98989,391470
